Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),Maximum temperature (Degree C),Rainfall amount (millimetres)
IDCJAC0016,70351,2008,9,19,21.1,23.6,0
IDCJAC0016,70351,2008,9,20,21.6,23.8,0
IDCJAC0016,70351,2008,9,21,22.6,19.8,0
IDCJAC0016,70351,2008,9,22,10.6,22.5,0
IDCJAC0016,70351,2008,9,23,18.8,16.6,13.2
IDCJAC0016,70351,2008,9,24,20.9,17.3,0
IDCJAC0016,70351,2008,9,25,23.3,19,0
IDCJAC0016,70351,2008,9,26,22,21.4,0
IDCJAC0016,70351,2008,9,27,23.2,25.9,0
IDCJAC0016,70351,2008,9,28,23,24.5,0
IDCJAC0016,70351,2008,9,29,20.7,19.2,0
IDCJAC0016,70351,2008,9,30,24.6,17.8,0
IDCJAC0016,70351,2008,10,1,23.6,22,0
IDCJAC0016,70351,2008,10,2,23.2,27.9,0
IDCJAC0016,70351,2008,10,3,22.1,29.4,0
IDCJAC0016,70351,2008,10,4,8.4,20.6,6.6
IDCJAC0016,70351,2008,10,5,19.1,21.7,2.6
IDCJAC0016,70351,2008,10,6,14,18,0
IDCJAC0016,70351,2008,10,7,25.1,16.7,5.6
IDCJAC0016,70351,2008,10,8,25.3,18.3,0
IDCJAC0016,70351,2008,10,9,25.8,20.3,0
IDCJAC0016,70351,2008,10,10,25.6,22,0
IDCJAC0016,70351,2008,10,11,24.4,23.1,0
IDCJAC0016,70351,2008,10,12,25.9,24.3,0
IDCJAC0016,70351,2008,10,13,14.5,26.6,0
IDCJAC0016,70351,2008,10,14,13.3,21.4,11.4
IDCJAC0016,70351,2008,10,15,22.3,19.9,0.4
IDCJAC0016,70351,2008,10,16,27,21.2,0
IDCJAC0016,70351,2008,10,17,25.9,24.2,0
IDCJAC0016,70351,2008,10,18,23.8,25.8,0
IDCJAC0016,70351,2008,10,19,21.8,29.2,0
IDCJAC0016,70351,2008,10,20,27,28,0
IDCJAC0016,70351,2008,10,21,20.9,20.3,0
IDCJAC0016,70351,2008,10,22,25.7,15.3,0.8
IDCJAC0016,70351,2008,10,23,27.1,18.3,0
IDCJAC0016,70351,2008,10,24,22.3,21.3,0
IDCJAC0016,70351,2008,10,25,28.9,26.3,0
IDCJAC0016,70351,2008,10,26,18.3,26.7,0
IDCJAC0016,70351,2008,10,27,25.8,31.4,0
IDCJAC0016,70351,2008,10,28,29.2,29.1,0
IDCJAC0016,70351,2008,11,1,19.9,21.6,0
IDCJAC0016,70351,2008,11,2,18.3,25.5,0
IDCJAC0016,70351,2008,11,3,15.9,23.9,13
IDCJAC0016,70351,2008,11,4,30.3,20.8,0
IDCJAC0016,70351,2008,11,5,15,21,0
IDCJAC0016,70351,2008,11,6,26.2,26.4,0
IDCJAC0016,70351,2008,11,7,9.9,21.2,0
IDCJAC0016,70351,2008,11,8,9.5,18.9,6.6
IDCJAC0016,70351,2008,11,9,30.9,23.3,0
IDCJAC0016,70351,2008,11,10,29.5,26.8,0
IDCJAC0016,70351,2008,11,11,29.9,27.7,0
IDCJAC0016,70351,2008,11,12,30.1,30.3,0
IDCJAC0016,70351,2008,11,13,28.8,31.1,0
IDCJAC0016,70351,2008,11,14,19.5,33.6,0
IDCJAC0016,70351,2008,11,15,27.9,27.9,3
IDCJAC0016,70351,2008,11,16,30.2,24.7,0
IDCJAC0016,70351,2008,11,17,29.7,24.8,0
IDCJAC0016,70351,2008,11,18,9.3,22,0
IDCJAC0016,70351,2008,11,19,9.7,22.7,0
IDCJAC0016,70351,2008,11,20,16.1,23.1,10.4
IDCJAC0016,70351,2008,11,21,26.1,23.2,0.4
IDCJAC0016,70351,2008,11,22,20,13,2.8
IDCJAC0016,70351,2008,11,23,16.2,16.3,13
IDCJAC0016,70351,2008,11,24,28.8,22.4,2.8
IDCJAC0016,70351,2008,11,25,26.3,19.7,0
